,,,,,,,Totals,,,Advanced,,,,,,,,,,,,,,,,,,,,Per 75 Possesions,,,,,,,,,,,,,,,,,,,,Shooting,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
467,Marquese Chriss,2020-21,23,GSW,NBA,0,2,0,27,11.8,0.357,0.286,12,38.9,25.6,11,0,6.5,11.3,28.1,88,104,-0.1,0.1,-0.03,-2.2,-1,-3.2,0,6.5,18.3,5.2,11.7,1.3,6.5,2.6,5.2,3.9,13,17,2.6,0,2.6,2.6,3.9,17,0.357,0.444,0.2,0.393,0.5,0.412
468,Nate Darling,2020-21,22,CHO,NBA,0,7,0,26,8.2,1,0.429,4.1,0,2.1,5.1,0,3.8,10.7,15.4,110,120,0,0,0.038,-1.5,-2.7,-4.2,0,2.8,9.9,0,0,2.8,9.9,4.2,4.2,1.4,0,1.4,1.4,0,1.4,1.4,1.4,12.7,0.286,,0.286,0.429,1,0.541
469,Matthew Dellavedova,2020-21,30,CLE,NBA,0,13,1,224,7.3,0.446,0.071,2.9,9.2,6,35.3,0.9,0.4,9.4,12.4,101,118,-0.1,0.1,0.005,-4.6,-2,-6.6,-0.3,2.3,9.2,1.7,5.1,0.7,4.1,0.7,0.7,1,3,4,9.6,0.7,0.2,1,3.5,5.9,0.25,0.323,0.16,0.286,1,0.312
470,Damyean Dotson,2020-21,26,CLE,NBA,0,46,7,907,8.1,0.543,0.123,0.6,11.1,5.7,15.1,0.9,0.4,12,16.9,99,118,-0.4,0.3,-0.002,-3.3,-1.6,-4.8,-0.6,4.9,11.9,3,5.5,1.9,6.5,1,1.5,0.2,3.6,3.8,3.7,0.7,0.2,1.7,1.7,12.6,0.406,0.545,0.289,0.485,0.667,0.499
471,Malik Fitts,2020-21,23,LAC,NBA,0,3,0,11,2.9,0.667,0,0,29.8,15.3,0,0,0,0,12.1,102,112,0,0,0.049,-9.6,-0.6,-10.2,0,3.4,10.1,0,3.4,3.4,6.8,0,0,0,10.1,10.1,0,0,0,0,10.1,10.1,0.333,0,0.5,0.5,,0.5
472,Ashton Hagans,2020-21,21,MIN,NBA,0,2,0,4,-12.4,,,0,0,0,0,0,0,100,10.5,0,124,0,0,-0.353,-13.8,-7.9,-21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0,0,,,,,,
473,Udonis Haslem,2020-21,40,MIA,NBA,0,1,0,3,54.6,0,0,0,37.5,19.1,0,0,0,0,30.1,200,111,0,0,0.475,24.1,7,31.1,0,24.8,24.8,24.8,24.8,0,0,0,0,0,12.4,12.4,0,0,0,0,0,49.7,1,1,,1,,1
474,Nate Hinton,2020-21,21,DAL,NBA,0,21,0,93,10.4,0.452,0.238,1.2,9.4,5.3,12.4,3.7,2,9.7,24.4,91,109,-0.2,0.1,-0.015,-4.6,0.4,-4.2,-0.1,6,16.7,4.4,9.1,1.6,7.6,2.8,4,0.4,3.2,3.6,3.2,2.8,0.8,2,3.2,16.3,0.357,0.478,0.211,0.405,0.7,0.442
475,Elijah Hughes,2020-21,22,UTA,NBA,0,18,0,64,8.4,0.767,0.133,1.7,12.7,7.5,13.4,0.8,1.3,15.9,25.4,93,111,-0.1,0.1,-0.013,-1.8,-1.9,-3.7,0,5.7,17.1,1.1,4,4.6,13.1,1.7,2.3,0.6,4.6,5.1,3.4,0.6,0.6,3.4,0.6,17.7,0.333,0.286,0.348,0.467,0.75,0.488
476,Wesley Iwundu,2020-21,26,TOT,NBA,0,41,4,539,4.3,0.402,0.304,3,15.2,9.1,4.2,1.4,0.7,14.1,10.8,89,114,-0.5,0.4,-0.003,-6.1,-0.4,-6.6,-0.6,2.3,6.9,2,4.1,0.3,2.8,1.8,2.1,1,5.1,6.1,1.2,1,0.3,1.3,3.3,6.7,0.333,0.475,0.122,0.358,0.839,0.428
477,Romeo Langford,2020-21,21,BOS,NBA,0,18,4,283,5.1,0.305,0.203,4.7,9.1,6.9,5.9,1,1.7,13.5,11.3,95,116,-0.2,0.2,0.003,-4.9,0,-5,-0.2,2.7,7.6,2.1,5.3,0.6,2.3,1.2,1.6,1.6,3,4.5,1.7,0.8,0.6,1.3,3.1,7.3,0.356,0.39,0.278,0.398,0.75,0.436
478,T.J. Leaf,2020-21,23,POR,NBA,0,7,0,35,11.2,0,0.2,0,15.7,7.6,4,2.8,2.6,15.5,15.8,97,113,0,0,0.022,-4.3,1.2,-3.2,0,5.2,10.5,5.2,10.5,0,0,2.1,2.1,0,5.2,5.2,1,2.1,1,2.1,1,12.5,0.5,0.5,,0.5,1,0.551
479,Meyers Leonard,2020-21,28,MIA,NBA,0,3,2,29,6.6,1,0.286,0,27.1,13.8,9.7,0,0,20.2,15.4,101,113,0,0,0.038,-3.5,-0.9,-4.4,0,3.9,9,0,0,3.9,9,1.3,2.6,0,9,9,2.6,0,0,2.6,6.4,12.8,0.429,,0.429,0.643,0.5,0.635
480,Will Magnay,2020-21,22,NOP,NBA,0,1,0,3,-35.1,1,0,0,0,0,0,0,0,50,28,0,122,0,0,-0.787,-30.7,-8.9,-39.6,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,12,12,0,0,,0,0,,0
481,Frank Mason,2020-21,26,ORL,NBA,0,4,1,79,7.5,0.208,0.292,3.8,12.2,7.9,22.3,0,0,15.6,17.5,98,120,0,0,-0.018,-6.1,-3.1,-9.2,-0.1,4.2,11.1,3.2,8.8,0.9,2.3,2.3,3.2,1.4,4.2,5.5,5.5,0,0,2.3,3.2,11.5,0.375,0.368,0.4,0.417,0.714,0.462
482,James Nunnally,2020-21,30,NOP,NBA,0,9,0,48,8.3,0.923,0.154,4.5,15.8,10.2,8.1,0,0,12.6,13.9,108,119,0,0,0.031,-1.5,-1.5,-3,0,3.7,9.7,0.7,0.7,3,9,0.7,1.5,1.5,5.2,6.7,2.2,0,0,1.5,0.7,11.2,0.385,1,0.333,0.538,0.5,0.54
483,Jontay Porter,2020-21,21,MEM,NBA,0,11,0,54,9.2,0.533,0.333,7.8,19.9,13.7,2.5,2.7,1.7,28.9,18.9,93,108,-0.1,0.1,0.019,-6.8,0.3,-6.5,-0.1,5.3,10,3.3,4.6,2,5.3,2,3.3,2.7,6.6,9.3,0.7,2,0.7,4.6,8,14.6,0.533,0.714,0.375,0.633,0.6,0.64
484,Kevin Porter,2020-21,20,HOU,NBA,0,26,23,835,12.5,0.439,0.256,2.4,10.5,6.3,31.2,1.1,0.9,18.2,25.4,101,118,-0.3,0.3,0,-1.3,-2.4,-3.8,-0.4,6.6,15.6,4.5,8.8,2.1,6.8,2.9,4,0.9,3.4,4.2,7,0.8,0.3,3.9,2.6,18.3,0.425,0.515,0.311,0.493,0.734,0.528
485,Jahmi'us Ramsey,2020-21,19,SAC,NBA,0,13,0,94,10.5,0.5,0.132,2.3,9.6,5.9,8.8,2,0.9,6.9,19.8,102,118,0,0,0.012,-3.1,-1.6,-4.7,-0.1,5.7,14.6,3.8,7.3,1.9,7.3,1.9,1.9,0.8,3.1,3.8,2.3,1.5,0.4,1.1,3.1,15.3,0.395,0.526,0.263,0.461,1,0.498
486,Chasson Randle,2020-21,27,ORL,NBA,0,41,5,837,7.4,0.549,0.203,0.8,9.6,5.1,12.9,1.3,0.5,15.1,15.7,98,117,-0.4,0.4,-0.001,-4.9,-1.3,-6.2,-0.9,4,10.3,2.1,4.7,1.9,5.7,1.7,2.1,0.3,3.3,3.6,3.2,1,0.2,2,2.8,11.6,0.388,0.449,0.338,0.481,0.792,0.515
487,Cameron Reynolds,2020-21,25,TOT,NBA,0,5,0,40,6.5,0.667,0,5.1,8.3,6.7,7.5,0,0,0,19.2,96,121,0,0,-0.039,-5.1,-3.9,-9,-0.1,5.3,16,2.7,5.3,2.7,10.7,0,0,1.8,2.7,4.5,1.8,0,0,0,1.8,13.4,0.333,0.5,0.25,0.417,,0.417
488,Nick Richards,2020-21,23,CHO,NBA,0,18,0,63,5.5,0.111,1.222,6.8,12.2,9.5,4.2,0,0,17.8,11.5,107,119,0,0,0.026,-5.8,-2.9,-8.7,-0.1,2.3,5.2,2.3,4.7,0,0.6,4.1,6.4,2.3,4.1,6.4,1.2,0,0,1.7,4.1,8.7,0.444,0.5,0,0.444,0.636,0.542
489,Justin Robinson,2020-21,23,OKC,NBA,0,9,0,88,6,0.667,0.238,1.2,7.2,4.1,14.1,1.6,0,7.9,12.2,102,117,0,0,0.021,-6.2,-1.3,-7.6,-0.1,2.8,8.5,1.2,2.8,1.6,5.7,1.2,2,0.4,2.4,2.8,3.6,1.2,0,0.8,4.1,8.5,0.333,0.429,0.286,0.429,0.6,0.453
490,Iman Shumpert,2020-21,30,BRK,NBA,0,2,0,11,-0.4,0.75,0,10.6,0,5,0,4.4,0,20,19.8,56,113,-0.1,0,-0.212,-10.2,-2.7,-13,0,3.3,13.2,3.3,3.3,0,9.9,0,0,3.3,0,3.3,0,3.3,0,3.3,0,6.6,0.25,1,0,0.25,,0.25
491,Deividas Sirvydis,2020-21,20,DET,NBA,0,20,0,133,5.7,0.7,0.15,0,24.5,12.1,5.4,0.7,0,10.5,15.7,90,114,-0.1,0.1,-0.01,-4.5,-1.1,-5.6,-0.1,3.9,11.1,1.1,3.3,2.8,7.7,0.8,1.7,0,8,8,1.4,0.6,0,1.4,2.5,11.3,0.35,0.333,0.357,0.475,0.5,0.481
492,Alen Smailagić,2020-21,20,GSW,NBA,0,15,1,84,8.9,0.37,0.222,7.7,12.5,10.1,6.5,1.7,5.2,14.4,17.6,92,108,-0.1,0.1,0.015,-4.9,-0.5,-5.4,-0.1,4.6,11.3,2.9,7.1,1.7,4.2,0.8,2.5,2.5,4.2,6.7,1.7,1.3,2.1,2.1,4.6,11.7,0.407,0.412,0.4,0.481,0.333,0.472
493,Sindarius Thornwell,2020-21,26,TOT,NBA,0,21,1,217,6.6,0.5,0.174,1.4,7.4,4.4,13,2.9,0.9,12.4,11.1,93,114,-0.2,0.2,0.009,-5.8,0.8,-5,-0.2,2.5,7.7,1.3,3.8,1.2,3.8,0.7,1.3,0.5,2.5,3,3.5,2.2,0.3,1.2,2.5,6.9,0.326,0.348,0.304,0.402,0.5,0.414
494,Anderson Varejão,2020-21,38,CLE,NBA,0,5,0,36,12.9,0.063,0.563,21.3,41.4,31.1,12.2,0,5,4.8,25.4,91,110,-0.1,0,-0.029,-4,-2.2,-6.2,0,4.1,16.4,4.1,15.4,0,1,5.1,9.2,7.2,13.4,20.6,3.1,0,2.1,1,3.1,13.4,0.25,0.267,0,0.25,0.556,0.326
495,Robert Woodard,2020-21,21,SAC,NBA,0,13,0,45,12.5,0.3,0.4,9.7,30,19.7,6.3,0,5.6,4.1,23.4,96,114,0,0,-0.011,-2.6,-2.7,-5.4,0,6.4,16,5.6,11.2,0.8,4.8,2.4,6.4,3.2,9.6,12.8,1.6,0,2.4,0.8,3.2,16,0.4,0.5,0.167,0.425,0.375,0.425
496,Jaylen Adams,2020-21,24,MIL,NBA,-0.1,7,0,18,-6.5,0.25,0,0,16.9,8.8,12.7,0,0,0,18.6,45,116,-0.1,0,-0.252,-14.9,-5,-19.8,-0.1,2,15.7,2,11.7,0,3.9,0,0,0,5.9,5.9,3.9,0,0,0,2,3.9,0.125,0.167,0,0.125,,0.125
497,Avery Bradley,2020-21,30,TOT,NBA,-0.1,27,6,602,6.3,0.591,0.088,1.4,9.1,5.2,10.8,1.7,0.5,13.6,14.9,94,116,-0.5,0.4,-0.008,-4.9,-0.8,-5.7,-0.6,3.8,10.3,1.9,4.2,2,6.1,0.7,0.9,0.5,2.9,3.4,2.8,1.3,0.2,1.7,3.3,10.4,0.374,0.443,0.327,0.471,0.8,0.487
498,Charlie Brown,2020-21,23,OKC,NBA,-0.1,9,1,152,4.1,0.488,0.233,2,9.7,5.8,8.2,1.3,1.2,11.2,14.9,88,116,-0.2,0.1,-0.032,-7.8,-1.2,-8.9,-0.3,3,10.1,1.9,5.2,1.2,4.9,2.1,2.3,0.7,3.3,4,2.1,0.9,0.5,1.4,4.5,9.4,0.302,0.364,0.238,0.36,0.9,0.422
499,Bruno Caboclo,2020-21,25,HOU,NBA,-0.1,6,0,36,9,0.294,0.118,8.5,34,20.7,4.7,0,5,18.3,25.8,83,112,-0.1,0,-0.088,-8.5,-2.1,-10.6,-0.1,7.9,16.8,7.9,11.8,0,4.9,1,2,3,10.8,13.8,1,0,2,3.9,5.9,16.8,0.471,0.667,0,0.471,0.5,0.475
500,Jarrett Culver,2020-21,21,MIN,NBA,-0.1,34,7,499,8.8,0.315,0.286,7.1,15.8,11.3,6.8,1.6,1.6,12.9,18.2,96,115,-0.4,0.3,-0.006,-4.8,-1.8,-6.6,-0.6,4.9,11.9,4,8.2,0.9,3.8,2.1,3.4,2.4,5,7.4,1.7,1.2,0.6,2,4.1,12.8,0.411,0.487,0.245,0.449,0.604,0.476
501,Dante Exum,2020-21,25,CLE,NBA,-0.1,6,3,116,5.9,0.423,0.077,1.9,14.8,8.2,15.8,1.7,1.5,20.7,12.7,87,114,-0.2,0.1,-0.025,-4.8,1.7,-3.1,0,3.2,8.3,2.6,4.8,0.6,3.5,0.3,0.6,0.6,4.8,5.4,4.1,1.3,0.6,2.2,2.9,7.3,0.385,0.533,0.182,0.423,0.5,0.428
502,Bruno Fernando,2020-21,22,ATL,NBA,-0.1,33,0,226,6.2,0.045,0.5,7.9,29.4,18.9,5.8,0.9,1.2,28.1,14.4,86,111,-0.3,0.3,-0.019,-6,-1,-7,-0.3,2.9,7.2,2.9,6.9,0,0.3,2.4,3.6,2.6,10.1,12.7,1.6,0.7,0.5,3.4,3.8,8.3,0.409,0.429,0,0.409,0.682,0.475
503,Markelle Fultz,2020-21,22,ORL,NBA,-0.1,8,8,215,12,0.154,0.183,2.3,10,6,33.1,1.8,0.8,13.8,26.2,96,116,-0.3,0.1,-0.024,-2.9,-1.7,-4.6,-0.1,7,17.7,6.3,14.9,0.7,2.7,2.9,3.2,0.8,3.4,4.2,7.3,1.4,0.3,3.1,3.1,17.5,0.394,0.42,0.25,0.413,0.895,0.458
504,Kyle Guy,2020-21,23,SAC,NBA,-0.1,31,0,235,8.5,0.523,0.227,2.3,14.4,8.3,17.9,1.2,0,10.2,19.7,99,119,-0.1,0.1,-0.015,-4,-2.3,-6.4,-0.3,4.4,13.5,2.5,6.4,2,7,2.5,3.1,0.8,4.6,5.4,4.9,0.9,0,1.7,3.1,13.3,0.33,0.381,0.283,0.403,0.8,0.449
505,Jared Harper,2020-21,23,NYK,NBA,-0.1,8,0,16,-10.8,0.25,1,0,13.4,6.8,7.7,0,0,34.2,24.4,43,114,-0.1,0,-0.365,-16.5,-6.2,-22.8,-0.1,0,9.4,0,7,0,2.3,7,9.4,0,4.7,4.7,2.3,0,0,7,2.3,7,0,0,0,0,0.75,0.26
506,Chandler Hutchison,2020-21,24,TOT,NBA,-0.1,25,1,346,6.8,0.214,0.243,1.9,22.2,12.1,6.3,1.6,1.2,14.9,16.2,89,111,-0.5,0.4,-0.007,-5.9,-0.2,-6.1,-0.4,3.9,10.4,3.1,8.2,0.8,2.2,2.1,2.5,0.6,7.3,7.9,1.7,1.2,0.5,2,3.3,10.8,0.379,0.383,0.364,0.417,0.84,0.469
507,Rodions Kurucs,2020-21,22,TOT,NBA,-0.1,21,0,125,6.3,0.656,0.125,4.3,15.4,9.8,10.3,3.4,2.9,27.8,15.9,79,109,-0.3,0.2,-0.041,-7,2.5,-4.6,-0.1,3.1,9.1,1.4,3.1,1.7,6,0.9,1.1,1.4,5.1,6.5,2.8,2.6,1.1,3.7,4.5,8.8,0.344,0.455,0.286,0.438,0.75,0.459
508,Jalen Lecque,2020-21,20,IND,NBA,-0.1,4,0,12,4.7,0.111,0.333,18.2,27,22.6,20.6,0,0,0,36.6,77,115,-0.1,0,-0.232,-6.3,-6.8,-13.1,0,3,26.6,3,23.6,0,3,8.9,8.9,5.9,8.9,14.8,5.9,0,0,0,0,14.8,0.111,0.125,0,0.111,1,0.242
509,Marcos Louzada Silva,2020-21,21,NOP,NBA,-0.1,3,0,56,-0.9,0.615,0,1.9,3.9,2.9,6.5,1.7,0,18.8,12,66,117,-0.1,0,-0.099,-8.2,-1.6,-9.8,-0.1,1.9,8.4,0.6,3.2,1.3,5.1,0,0,0.6,1.3,1.9,1.9,1.3,0,1.9,3.2,5.1,0.231,0.2,0.25,0.308,,0.308
510,Karim Mané,2020-21,20,ORL,NBA,-0.1,10,0,88,1.3,0.154,0.385,1.1,15.9,8.3,6,0,2.1,16.5,8.9,77,117,-0.1,0,-0.045,-9,-0.8,-9.9,-0.2,1.2,5.4,0.8,4.6,0.4,0.8,1.7,2.1,0.4,5.4,5.8,1.7,0,0.8,1.2,4.1,4.6,0.231,0.182,0.5,0.269,0.8,0.362
511,Adam Mokoka,2020-21,22,CHI,NBA,-0.1,14,0,56,2.2,0.526,0.053,2,7.8,4.9,11.9,1.7,1.6,20.5,18.9,73,113,-0.2,0.1,-0.112,-7.7,-2.2,-9.9,-0.1,4.5,12.3,3.9,5.8,0.6,6.5,0,0.6,0.6,2.6,3.2,3.2,1.3,0.6,3.2,3.2,9.7,0.368,0.667,0.1,0.395,0,0.386
512,Anžejs Pasečņiks,2020-21,25,WAS,NBA,-0.1,1,0,6,-40.6,1,0,17.7,0,8.8,18.7,0,0,83.3,41.4,21,120,-0.1,0,-1.113,-40.1,-7.1,-47.1,-0.1,0,5.8,0,0,0,5.8,0,0,5.8,0,5.8,5.8,0,0,28.8,11.5,0,0,,0,0,,0
513,Theo Pinson,2020-21,25,NYK,NBA,-0.1,17,0,34,-8.1,0.889,0,0,15.8,8,3.7,0,0,10,13.1,29,113,-0.2,0,-0.205,-13.6,-2.9,-16.5,-0.1,1.1,9.9,1.1,1.1,0,8.8,0,0,0,5.5,5.5,1.1,0,0,1.1,4.4,2.2,0.111,1,0,0.111,,0.111
514,Vincent Poirier,2020-21,27,PHI,NBA,-0.1,10,0,39,1.6,0.083,0.5,17.2,22.2,19.8,6.6,0,6.9,21.5,20.6,70,107,-0.2,0.1,-0.127,-11.4,-3.2,-14.6,-0.1,2.8,11.1,2.8,10.2,0,0.9,1.9,5.6,5.6,7.4,13,1.9,0,2.8,3.7,7.4,7.4,0.25,0.273,0,0.25,0.333,0.273
515,Andre Roberson,2020-21,29,BRK,NBA,-0.1,5,0,63,4.2,0.571,0.143,12.9,13.3,13.2,7.4,2.3,1.4,11.8,11.7,79,113,-0.1,0.1,-0.043,-5.1,-1.2,-6.2,-0.1,1.1,8,0.6,3.4,0.6,4.6,0.6,1.1,4,4.6,8.6,2.3,1.7,0.6,1.1,2.3,3.4,0.143,0.167,0.125,0.179,0.5,0.202
516,Jay Scrubb,2020-21,20,LAC,NBA,-0.1,4,1,84,6.3,0.25,0.139,2.8,15.6,9.4,1.7,2.4,0,15.5,23.8,82,111,-0.2,0.1,-0.072,-8.1,-2.8,-10.9,-0.2,6.2,15.9,5.3,11.9,0.9,4,2.2,2.2,0.9,5.3,6.2,0.4,1.8,0,3.1,2.2,15.5,0.389,0.444,0.222,0.417,1,0.458
517,Ray Spalding,2020-21,23,HOU,NBA,-0.1,2,0,19,0.8,0.25,0.5,10.8,11.7,11.2,0,0,9.4,38.1,17.6,60,114,-0.1,0,-0.184,-8.9,-1.4,-10.4,0,3.7,7.5,3.7,5.6,0,1.9,0,3.7,3.7,3.7,7.5,0,0,3.7,5.6,5.6,7.5,0.5,0.667,0,0.5,0,0.41
518,Cassius Stanley,2020-21,21,IND,NBA,-0.1,24,0,93,5.5,0.302,0.209,9.4,13.9,11.7,1.4,0.5,1.7,2.1,22,90,116,-0.2,0.1,-0.05,-7,-4.2,-11.2,-0.2,5,16.4,3.8,11.4,1.1,5,2.7,3.4,3,4.6,7.6,0.4,0.4,0.8,0.4,5.3,13.7,0.302,0.333,0.231,0.337,0.778,0.383
519,Tyrell Terry,2020-21,20,DAL,NBA,-0.1,11,0,56,6,0.438,0.188,0,11.7,5.9,14,4.4,0,10.4,15.3,75,108,-0.1,0.1,-0.049,-7.7,2.2,-5.5,-0.1,3.3,10.6,3.3,5.9,0,4.6,0.7,2,0,4,4,4,3.3,0,1.3,1.3,7.3,0.313,0.556,0,0.313,0.333,0.318
520,Noah Vonleh,2020-21,25,BRK,NBA,-0.1,4,0,11,-19,0.667,0,0,9.6,5,10.2,0,0,40,19.8,14,120,-0.1,0,-0.488,-20.9,-8.9,-29.9,-0.1,0,9.9,0,3.3,0,6.6,0,0,0,3.3,3.3,3.3,0,0,6.6,6.6,0,0,0,0,0,,0
521,Greg Whittington,2020-21,27,DEN,NBA,-0.1,4,0,12,-10.2,0.667,0,0,0,0,0,0,0,0,10.9,0,121,-0.1,0,-0.259,-11.4,-6.1,-17.5,0,0,9.3,0,3.1,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
522,Kostas Antetokounmpo,2020-21,23,LAL,NBA,-0.2,15,0,56,0,0,1.3,8.1,29.9,19.1,2.3,1.7,6.4,41.2,20.7,56,100,-0.3,0.1,-0.174,-13.2,0.2,-13,-0.2,2,6.5,2,6.5,0,0,3.9,8.5,2.6,9.8,12.4,0.7,1.3,2.6,7.2,5.2,7.8,0.3,0.3,,0.3,0.462,0.382
523,Keljin Blevins,2020-21,25,POR,NBA,-0.2,17,0,75,-0.9,0.4,0,4.2,10.3,7.1,6.7,1.3,0,20,14.3,66,119,-0.2,0,-0.137,-9,-3,-12,-0.2,2.4,9.8,1.5,5.9,1,3.9,0,0,1.5,3.4,4.9,2,1,0,2.4,3.9,5.9,0.25,0.25,0.25,0.3,,0.3
524,Sekou Doumbouya,2020-21,20,DET,NBA,-0.2,56,11,869,6.9,0.408,0.227,4.9,13.5,9.2,8,1.4,0.9,12.4,17.8,93,114,-0.9,0.7,-0.012,-5.4,-1.7,-7,-1.1,4.5,11.9,3.4,7.1,1.1,4.9,1.9,2.7,1.7,4.4,6.1,2,1,0.4,1.9,4,12.1,0.379,0.485,0.226,0.426,0.703,0.459
525,Kris Dunn,2020-21,26,ATL,NBA,-0.2,4,0,45,-5.7,0.167,0.333,0,14.3,7.3,5.4,2.2,3.9,17.9,16.2,41,110,-0.2,0.1,-0.202,-13.9,0,-13.9,-0.1,0.8,9.8,0.8,8.2,0,1.6,2.5,3.3,0,4.9,4.9,1.6,1.6,1.6,2.5,8.2,4.1,0.083,0.1,0,0.083,0.75,0.182
526,Terrance Ferguson,2020-21,22,PHI,NBA,-0.2,13,0,49,-7.1,0.714,0,0,2.2,1.1,4.9,1,0,36.4,9.7,30,114,-0.2,0,-0.161,-12.1,-2.7,-14.8,-0.2,0.7,5.2,0.7,1.5,0,3.7,0,0,0,0.7,0.7,1.5,0.7,0,3,5.2,1.5,0.143,0.5,0,0.143,,0.143
527,Tim Frazier,2020-21,30,MEM,NBA,-0.2,5,0,62,-0.5,0.4,0.3,0,13.8,6.8,30.8,1.5,1.5,15,18.1,63,112,-0.3,0.1,-0.169,-10.8,-2,-12.9,-0.2,1.7,11.6,1.7,6.9,0,4.6,1.2,3.5,0,4.6,4.6,9.3,1.2,0.6,2.3,4,4.6,0.15,0.25,0,0.15,0.333,0.177
528,Isaiah Thomas,2020-21,31,NOP,NBA,-0.2,3,0,48,2.4,0.444,0.074,2.3,6.8,4.5,15.1,1,0,17.7,29.7,79,118,-0.2,0,-0.179,-8.1,-5.6,-13.8,-0.1,6.7,20.2,4.5,11.2,2.2,9,1.5,1.5,0.7,2.2,3,3.7,0.7,0,4.5,2.2,17.2,0.333,0.4,0.25,0.389,1,0.412
529,John Wall,2020-21,30,HOU,NBA,-0.2,40,40,1288,15.4,0.343,0.291,1.3,9.7,5.3,36.2,1.5,2.1,14.7,31.7,99,116,-1,0.8,-0.007,1.4,-1.6,-0.2,0.6,8.1,20,5.9,13.1,2.2,6.9,4.4,5.8,0.5,3.1,3.6,7.6,1.2,0.9,3.9,1.3,22.7,0.404,0.449,0.317,0.458,0.749,0.503
530,Markus Howard,2020-21,21,DEN,NBA,-0.3,37,1,205,6.4,0.613,0.085,0.6,11,5.8,12.6,1,0.5,14.1,27.2,89,116,-0.4,0.1,-0.068,-5.9,-3.1,-9,-0.4,7.2,19.2,4,7.4,3.3,11.8,1.3,1.6,0.2,3.6,3.8,3.3,0.7,0.2,3.3,4.2,19,0.377,0.537,0.277,0.462,0.778,0.477
531,Jeremiah Martin,2020-21,24,CLE,NBA,-0.3,9,0,75,1.4,0.364,0.152,2.9,7.6,5.2,7.9,3.3,2.4,14.6,23.9,63,112,-0.4,0.1,-0.207,-8.5,-1.2,-9.7,-0.1,4.4,16.3,3,10.4,1.5,5.9,0.5,2.5,1,2.5,3.5,2,2.5,1,3,0.5,10.9,0.273,0.286,0.25,0.318,0.2,0.313
532,Rodney Hood,2020-21,28,TOT,NBA,-0.4,55,5,942,5.6,0.435,0.108,2.6,9.4,5.9,7.5,1.2,0.7,11.7,14.1,94,118,-0.7,0.3,-0.019,-5.3,-1.8,-7.1,-1.2,3.6,10.1,2.3,5.7,1.3,4.4,0.9,1.1,0.9,3.1,4,2.1,0.9,0.3,1.4,2.9,9.5,0.362,0.408,0.301,0.427,0.857,0.452
533,Jerome Robinson,2020-21,23,WAS,NBA,-0.4,17,6,305,4.1,0.442,0.211,1.4,11.8,6.6,10.2,1.8,1.6,15.5,16.7,81,113,-0.7,0.3,-0.057,-6.5,-1.1,-7.6,-0.4,3.2,10.8,1.9,6,1.2,4.8,1.8,2.3,0.5,3.9,4.3,2.8,1.4,0.7,2.2,3.5,9.4,0.295,0.321,0.262,0.353,0.8,0.4
534,Michael Carter-Williams,2020-21,29,ORL,NBA,-0.5,31,25,800,9.5,0.226,0.296,4.9,13.4,9,24.3,1.5,1.9,18.4,20.2,93,115,-1.1,0.6,-0.028,-4.5,-0.1,-4.6,-0.5,4.8,12.3,4.1,9.5,0.7,2.8,2.2,3.6,1.8,4.6,6.3,5.9,1.1,0.8,3.1,3.7,12.5,0.389,0.431,0.246,0.417,0.613,0.449
535,Justise Winslow,2020-21,24,MEM,NBA,-0.7,26,1,507,6.2,0.257,0.167,3.7,21.1,12.3,13.3,1.4,2.1,14.1,21.9,82,110,-1.3,0.6,-0.066,-6.2,0.1,-6.1,-0.5,5.2,14.9,4.5,11,0.7,3.8,1.4,2.5,1.3,7.1,8.3,3.5,1.1,0.8,2.6,3.3,12.6,0.352,0.41,0.185,0.376,0.571,0.395
536,Théo Maledon,2020-21,19,OKC,NBA,-0.8,65,49,1778,8.2,0.51,0.22,1.4,11,6.2,18.8,1.5,0.5,17.3,19.4,94,116,-1.9,1.1,-0.021,-4.1,-1.1,-5.2,-1.4,4.5,12.3,2.4,6,2.1,6.3,2,2.7,0.5,3.7,4.2,4.6,1.1,0.2,2.8,2.5,13.2,0.368,0.402,0.335,0.454,0.748,0.489
537,Darius Bazley,2020-21,20,OKC,NBA,-0.9,55,55,1714,9.7,0.414,0.258,3.1,21.2,12,8.9,0.8,1.3,13.7,22.1,93,114,-2.3,1.4,-0.026,-3.1,-1.4,-4.4,-1,5.7,14.4,4,8.4,1.7,5.9,2.6,3.7,1.1,7.2,8.2,2.1,0.6,0.5,2.5,1.2,15.7,0.396,0.47,0.29,0.456,0.702,0.491
